dataset,seed,accuracy,std_cp_cov,std_cp_size,std_cp_is,sacp03_cov,sacp03_size,sacp03_is,sacp05_cov,sacp05_size,sacp05_is,sacp07_cov,sacp07_size,sacp07_is,geocp_cov,geocp_size,geocp_is,geocp_bw
ksc,7,0.7936316001612254,0.8919790407093914,1.4155582426440951,3.5759774284562678,0.890769850866586,1.3305118903667876,3.5151148730350665,0.894397420395002,1.332124143490528,3.4441757355904876,0.8964127367996776,1.332124143490528,3.403869407496977,0.9032648125755743,1.4478033051189036,3.382507053607416,50
ksc,8,0.8085449415558242,0.8891575977428456,1.5683192261185006,3.7851672712615883,0.9060862555421201,1.3873438129786377,3.2656187021362353,0.898428053204353,1.3002821442966546,3.331721080209593,0.894397420395002,1.2571543732365982,3.369205965336558,0.9012494961708988,1.429665457476824,3.404675534058847,30
ksc,9,0.8710197501007658,0.9040709391374446,1.293833131801693,3.212414349052801,0.905683192261185,1.1668681983071343,3.053204353083434,0.9012494961708988,1.1265618702136235,3.101571946795647,0.9000403063280935,1.1035872632003225,3.1027811366384523,0.9064893188230552,1.185006045949214,3.0552196694881095,100
botswana,0,0.962641761174116,0.9019346230820547,0.9733155436957972,2.9346230820547032,0.8972648432288192,0.9439626417611742,2.9986657771847898,0.8899266177451635,0.9286190793862575,3.1300867244829886,0.8912608405603736,0.9206137424949966,3.095396931287525,0.8972648432288192,0.9366244162775184,2.991327551701134,100
botswana,1,0.9159439626417611,0.9226150767178118,1.0520346897931954,2.599733155436958,0.9166110740493663,1.0166777851901267,2.684456304202802,0.9152768512341561,1.0026684456304202,2.697131420947298,0.9059372915276851,0.9833222148098733,2.864576384256171,0.9186124082721815,1.0333555703802535,2.6611074049366246,100
botswana,2,0.9566377585056705,0.9059372915276851,0.9993328885923949,2.8805870580386923,0.9039359573048699,0.961974649766511,2.8832555036691128,0.9052701801200801,0.9539693128752502,2.848565710473649,0.8999332888592395,0.9392928619079386,2.9406270847231486,0.9079386257505003,0.9599733155436958,2.8012008005336893,50
botswana,3,0.95263509006004,0.885923949299533,0.9633088725817212,3.2448298865910608,0.8945963975983989,0.9553035356904603,3.0633755837224816,0.8945963975983989,0.9399599733155437,3.048032021347565,0.9059372915276851,0.9412941961307538,2.8225483655770516,0.8992661774516344,0.9466310873915944,2.961307538358906,100
botswana,4,0.9606404269513009,0.9092728485657104,0.981320880587058,2.795863909272849,0.9026017344896597,0.9513008672448299,2.8992661774516346,0.9006004002668445,0.9392928619079386,2.927284856571047,0.9012675116744496,0.933288859239493,2.9079386257505004,0.895930620413609,0.9359573048699132,3.0173448965977316,50
botswana,5,0.9259506337558372,0.9166110740493663,1.0840560373582389,2.751834556370914,0.9319546364242829,1.0433622414943295,2.4042695130086726,0.9266177451634423,1.029352901934623,2.496997998665777,0.9292861907938625,1.0253502334889926,2.4396264176117413,0.9319546364242829,1.0607071380920614,2.4216144096064043,100
botswana,6,0.9426284189459639,0.8972648432288192,1.0006671114076051,3.0553702468312207,0.8899266177451635,0.9599733155436958,3.161440960640427,0.8872581721147431,0.9466310873915944,3.201467645096731,0.8872581721147431,0.9372915276851234,3.19212808539026,0.8839226150767178,0.9439626417611742,3.2655103402268177,100
botswana,7,0.961974649766511,0.8992661774516344,0.9766511007338226,2.991327551701134,0.8905937291527685,0.9446297531687792,3.132755170113409,0.8972648432288192,0.9452968645763843,3.0,0.8999332888592395,0.9386257505003336,2.9399599733155437,0.8972648432288192,0.9479653102068045,3.0026684456304205,100
botswana,8,0.9573048699132756,0.8992661774516344,0.9699799866577719,2.9846564376250835,0.8972648432288192,0.9466310873915944,3.0013342228152102,0.895930620413609,0.9366244162775184,3.018012008005337,0.8932621747831888,0.9272848565710473,3.0620413609072714,0.8945963975983989,0.9346230820547031,3.0426951300867247,100
botswana,9,0.9559706470980653,0.8972648432288192,0.971314209472982,3.026017344896598,0.9086057371581054,0.9599733155436958,2.787858572381588,0.9039359573048699,0.9479653102068045,2.8692461641094065,0.9032688458972649,0.9426284189459639,2.877251501000667,0.904603068712475,0.9586390927284857,2.866577718478986,30
