dataset,seed,alpha,method,is,cov,size,sscv_pct
ip,9,0.15,C,3.2750666666666666,0.8666,1.4964,11.923076923076925
ksc,0,0.05,D,4.6590084643289,0.9407496977025392,2.2889963724304714,4.698996655518394
ksc,0,0.05,A,4.111648528819025,0.9463925836356308,1.9673518742442564,9.227642276422765
ksc,0,0.05,B,4.085449415558243,0.9451833937928255,1.8927851672712617,16.888412017167376
ksc,0,0.05,C,3.387746876259573,0.9633212414349053,1.920596533655784,7.760416666666659
ksc,0,0.1,D,4.032245062474809,0.8879484079000403,1.7912132204756146,10.547945205479458
ksc,0,0.1,A,3.687222893994357,0.890769850866586,1.502619911326078,15.05910165484634
ksc,0,0.1,B,3.6199113260781943,0.8859330914953648,1.3385731559854896,23.714285714285722
ksc,0,0.1,C,3.2059653365578398,0.916968964127368,1.5453446191051996,9.999999999999998
ksc,0,0.15,D,3.6395270724170365,0.845626763401854,1.581217251108424,10.520833333333336
ksc,0,0.15,A,3.428187558780062,0.8363563079403467,1.2462716646513503,19.062499999999993
ksc,0,0.15,B,3.3302431815128313,0.8399838774687626,1.196694881096332,35.0
ksc,0,0.15,C,3.2134891844686284,0.860137041515518,1.3486497380088673,13.749999999999996
ksc,1,0.05,D,4.479645304312777,0.9568722289399436,2.75453446191052,3.568872987477645
ksc,1,0.05,A,4.022168480451431,0.9536477226924627,2.1680773881499396,17.222222222222218
ksc,1,0.05,B,3.422410318419992,0.9568722289399436,1.6972994760177347,5.000000000000004
ksc,1,0.05,C,3.2257154373236596,0.9673518742442564,1.9197904070939138,4.803921568627445
ksc,1,0.1,D,4.070536074163644,0.9044740024183797,2.1600161225312373,12.222222222222223
ksc,1,0.1,A,3.5941152760983472,0.9060862555421201,1.7158403869407497,8.36734693877551
ksc,1,0.1,B,3.2781136638452235,0.9089076985086658,1.456267634018541,9.999999999999998
ksc,1,0.1,C,3.153164046755341,0.9234179766223297,1.6215235792019347,8.36734693877551
ksc,1,0.15,D,3.820368131129921,0.8472390165255945,1.7835550181378477,6.768007483629567
ksc,1,0.15,A,3.2786510815531376,0.8629584844820637,1.4514308746473197,15.000000000000002
ksc,1,0.15,B,3.3001477898696763,0.8504635227730754,1.3063280935106811,15.000000000000002
ksc,1,0.15,C,3.2062340454117964,0.8686013704151552,1.4542523176138653,19.545454545454543
ksc,2,0.05,D,4.074566706972995,0.9391374445787989,1.6400644901249497,5.000000000000004
ksc,2,0.05,A,3.4663442160419184,0.9451833937928255,1.2736799677549375,6.39896373056994
ksc,2,0.05,B,3.05683192261185,0.9528415961305925,1.17049576783555,7.871287128712867
ksc,2,0.05,C,2.819024586860137,0.9596936719064894,1.2067714631197097,7.499999999999996
ksc,2,0.1,D,3.4663442160419184,0.894397420395002,1.3542926239419588,9.999999999999998
ksc,2,0.1,A,3.09471987101975,0.9012494961708988,1.1197097944377268,9.999999999999998
ksc,2,0.1,B,3.1620314389359128,0.8948004836759371,1.0580411124546554,9.597989949748742
ksc,2,0.1,C,3.0584441757355907,0.9020556227327691,1.0995566303909714,9.999999999999998
