experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
HSI,ksc_seed6,0.15,E,100,3.788391777509069,0.8512696493349455,1.8053204353083434,7.841648590021699,ksc,6.0,,
HSI,ksc_seed7,0.05,E,50,3.870616686819831,0.9524385328496574,1.9681580008061266,3.4615384615384714,ksc,7.0,,
HSI,ksc_seed7,0.1,E,50,3.54615074566707,0.8972188633615478,1.490528012898025,7.215189873417716,ksc,7.0,,
HSI,ksc_seed7,0.15,E,50,3.2605132339110576,0.8544941555824265,1.32043530834341,8.641271745650869,ksc,7.0,,
HSI,ksc_seed8,0.05,E,100,3.970576380491737,0.947198710197501,1.8585247883917775,5.280373831775698,ksc,8.0,,
HSI,ksc_seed8,0.1,E,100,3.460298266827892,0.9024586860137042,1.509471987101975,9.999999999999998,ksc,8.0,,
HSI,ksc_seed8,0.15,E,100,3.3697433830444714,0.8448206368399839,1.3006852075775897,15.000000000000002,ksc,8.0,,
HSI,ksc_seed9,0.05,E,100,3.5610640870616685,0.9552599758162031,1.7714631197097945,3.4848484848484906,ksc,9.0,,
HSI,ksc_seed9,0.1,E,100,3.2204756146715035,0.9117291414752116,1.4550584441757355,9.999999999999998,ksc,9.0,,
HSI,ksc_seed9,0.15,E,100,3.2047561467150345,0.8536880290205562,1.2539298669891172,15.000000000000002,ksc,9.0,,
HSI,pu_seed0,0.05,E,20,3.3380049851855333,0.9527347975356253,1.4473968866105442,5.000000000000004,pu,0.0,,
HSI,pu_seed0,0.1,E,20,3.219912524102902,0.9001081691200677,1.2220759065042561,9.999999999999998,pu,0.0,,
HSI,pu_seed0,0.15,E,20,3.1141105833294147,0.8489865023750176,1.1005972816629825,15.000000000000002,pu,0.0,,
HSI,pu_seed1,0.05,E,20,3.4120773174058225,0.9500540845600338,1.4142406998071768,5.000000000000004,pu,1.0,,
HSI,pu_seed1,0.1,E,20,3.2425810092649203,0.9003433193810845,1.2494473968866104,9.999999999999998,pu,1.0,,
HSI,pu_seed1,0.15,E,20,3.1082788568561983,0.8523726661336594,1.1399144053049899,15.000000000000002,pu,1.0,,
HSI,pu_seed2,0.05,E,100,3.3034378968160656,0.9538164887363025,1.4560974462681653,23.571428571428566,pu,2.0,,
HSI,pu_seed2,0.1,E,100,3.1620655598927714,0.9026007618868457,1.2140807976296855,9.999999999999998,pu,2.0,,
HSI,pu_seed2,0.15,E,100,3.04284437755726,0.8535484174387433,1.0901566100738371,15.000000000000002,pu,2.0,,
HSI,pu_seed3,0.05,E,100,3.213375346846635,0.9540516389973193,1.3754409067394064,28.333333333333332,pu,3.0,,
HSI,pu_seed3,0.1,E,100,3.2037341861449464,0.8989324178149838,1.1823825424446222,23.33333333333334,pu,3.0,,
HSI,pu_seed3,0.15,E,100,3.1257583595917793,0.8456473686685793,1.0677232751728354,85.0,pu,3.0,,
HSI,pu_seed4,0.05,E,100,3.193152424399191,0.9549452099891831,1.3909608239665145,5.000000000000004,pu,4.0,,
HSI,pu_seed4,0.1,E,100,3.098763109627052,0.9048111743404035,1.194986596435122,9.999999999999998,pu,4.0,,
HSI,pu_seed4,0.15,E,100,3.0358682531470946,0.854159808117387,1.0913323613789212,10.566977192418891,pu,4.0,,
HSI,pu_seed5,0.05,E,100,3.1273573813666933,0.9556506607722335,1.3533838122560315,5.745233968804153,pu,5.0,,
HSI,pu_seed5,0.1,E,100,3.1189390020222922,0.9027418520434558,1.1737760428914077,7.613636363636367,pu,5.0,,
HSI,pu_seed5,0.15,E,100,3.096317546912477,0.8470582702346799,1.0570944833748765,15.000000000000002,pu,5.0,,
HSI,pu_seed6,0.05,E,100,3.2562667544560973,0.9517471664393548,1.3261534120302874,3.810090433127089,pu,6.0,,
